"Artist_01","Artist_02"
"Electric Light Orchestra","KAROL G"
"Bing Crosby","Kygo"
"Louis Armstrong","Santana"
"Neil Young","Nicky Jam"
"Mariah Carey","Victony"
"Camila Cabello","S3RL"
"Fireboy DML","Tekno Miles"
"Banky W","Paul McCartney"
"Jimi Hendrix","NewJeans"
"Drake","Ike & Tina Turner"
"Lightnin’ Hopkins","Usher"
"Ed Sheeran","The Residents"
"Bee Gees","Burna Boy"
"Paramore","Santana"
"Elis Regina","Muse"
"KAROL G","YoungBoy Never Broke Again"
"Kendrick Lamar","Perry Como"
"Burna Boy","Sash!"
"Depeche Mode","twenty one pilots"
"Lana Del Rey","Shakira"
"Armin van Buuren","Tems"
"Madonna","Stevie Wonder"
"Diana Ross","Katy Perry"
"Cardi B","The Drifters"
"Bob Wills and His Texas Playboys","Coldplay"
"Cardi B","KISS"
"Aerosmith","Taylor Swift"
"Angélique Kidjo","Wizkid"
"Alex Zurdo","Marshmello"
"Bob Wills and His Texas Playboys","Foo Fighters"
"Lloyd Banks","The Weeknd"
"Elis Regina","Lil Wayne"
"Jax Jones","Lil Wayne"
"Scorpions","Tiësto"
"J. Cole","Tayc"
"Calvin Harris","U2"
"Marillion","Stevie Wonder"
"Bob Wills and His Texas Playboys","twenty one pilots"
"Megan Thee Stallion","The Rolling Stones"
"Billie Eilish","Vico C"
"Kendrick Lamar","Marilyn Manson"
"Bob Wills and His Texas Playboys","Céline Dion"
"Linkin Park","The HOP"
"Linkin Park","Vico C"
"Cappella","Taylor Swift"
"BTS","The Kinks"
"Muse","Yaga & Mackie"
"Future","Radiohead"
"Eddy Kenzo","Luis Fonsi"
"Post Malone","Yes"
"Carole King","Wizkid"
"Cardi B","Diana Ross"
"Armin van Buuren","Wizkid"
"BAD HOP","Megan Thee Stallion"
"Jowell & Randy","Stray Kids"
"CKay","Johnny Mathis"
"Alicia Keys","Various Artists"
"HOP-PAS","The Weeknd"
"Eminem","Wilco"
"Juls","Nicky Jam"
"Lil Wayne","Maciré Sylla"
"Céline Dion","The Fall"
"Da Great","Paul McCartney"
"Miguel Bosé","The Weeknd"
"KAROL G","Rush"
"David Guetta","Olamide"
"BTS","Hop-Frog"
"Burna Boy","The Drifters"
"Camila Cabello","Garry Mapanzure"
"CKay","Los Fabulosos Cadillacs"
"Hop Trop","SZA"
"Sheylex Marvin","twenty one pilots"
"Santana","Wande Coal"
"Diplo","Jerry Lee Lewis"
"Linkin Park","Luke Combs"
"Kenny Rogers","twenty one pilots"
"Iggy Azalea","J. Cole"
"Calvin Harris","Tori Amos"
"Billie Eilish","Jax Jones"
"Bad Bunny","Jeezy"
"Fryderyk Chopin","Shawn Mendes"
"Hop Wilson","J. Cole"
"Don Omar","Travis Scott"
"CKay","Maciré Sylla"
"The Chainsmokers","Waka Flocka Flame"
"Cardi B","Luke Combs"
"Kygo","Motörhead"
"Buckethead","Fireboy DML"
"Eminem","The Residents"
"Carly Simon","Tiësto"
"Doja Cat","JAY‐Z"
"Rema","Robb Bank$"
"Dionne Warwick","Kendrick Lamar"
"Chris Brown","Teni"
"Foo Fighters","Maleek Berry"
"CKay","Kool & the Gang"
"Joe Pass","Justin Bieber"
"Avicii","Marvin Gaye"
"Erasure","Juice WRLD"
"Post Malone","Rubén Blades"
"Daddy Yankee","Dusty Springfield"
"Carrie Underwood","Taylor Swift"
"Banky W","Travis Scott"
"Kendrick Lamar","Ángel & Khriz"
"Marshmello","Shania Twain"
"Elton John","I-Hop"
"Santana","Truck Stop"
"Calvin Harris","Kizz Daniel"
"Bad Bunny","Farruko"
"Céline Dion","José José"
"Sheylex Marvin","Tems"
"Coach Hop","Kygo"
"The Brighton Beat","twenty one pilots"
"Post Malone","Sonny Rollins"
"Elton John","LUCKI"
"KAROL G","Morrissey"
"Beyoncé","Cypress Hill"
"Metallica","Shawn Mendes"
"House of Prayers","Tiësto"
"Bing Crosby","Santana"
"Celia Cruz","Lil Wayne"
"Hop","Lady Gaga"
"Alicia Keys","Ife Alaba"
"Muse","Uriah Heep"
"Iron Maiden","Nicky Jam"
"Ellie Goulding","Tems"
"Dolly Parton","Elton John"
"Jowell & Randy","Skrillex"
"Sirch","Tems"
"BTS","Phish"
"KAROL G","Petey Hop"
"Avicii","Vico C"
"Coldplay","Emmylou Harris"
"Loudah100","Tiësto"
"The Weeknd","Tim Devine"
"J Balvin","Ye"
"Bob Dylan","H.E.R."
"Ale Hop","The Weeknd"
"Skrillex","YoungBoy Never Broke Again"
"Burna Boy","The Who"
"Burna Boy","Mugeez"
"Tekno Miles","The Weeknd"
"Chuck Berry","Post Malone"
"Luis Fonsi","Praga Khan"
"HOP CLUB","Kygo"
"Scorpions","Stray Kids"
"Drake","Metallica"
"Alexis & Fido","BLACKPINK"
"Imagine Dragons","lamarcrescendo"
"JAY‐Z","Zedd"
"The Weeknd","Van Morrison"
"Muse","Sirch"
"Nanky","Nicky Jam"
"Caetano Veloso","Linkin Park"
"Alicia Keys","Sheylex Marvin"
"Coldplay","Ray Charles"
"Luis Fonsi","Stonebwoy"
"Libianca","Stray Kids"
"Luke Combs","Skrillex"
"H.E.R.","Heinäsirkka Hop"
"Alicia Keys","lamarcrescendo"
"Bing Crosby","Megan Thee Stallion"
"Eminem","The Beatles"
"J. Cole","Megadeth"
"Elliott Smith","Elton John"
"Metro Boomin","Post Malone"
"H.E.R.","LUCKI"
"Angélique Kidjo","Stray Kids"
"The Residents","Usher"
"Carpenters","Fireboy DML"
"Future","Hop Stamina"
"Kendrick Lamar","鷺巣詩郎"
"Maluma","Tame Impala"
"Coldplay","Ángel & Khriz"
"Eddy Kenzo","Skrillex"
"Katy Perry","Michael Jackson"
"KAROL G","SpaceGhostPurrp"
"Camila Cabello","Maphya"
"Eminem","Money Boy"
"Bad Bunny","Black Sabbath"
"Hop Wilson","Usher"
"Marshmello","Pérez Prado"
"BLACKPINK","Eros Ramazzotti"
"Lana Del Rey","Muse"
"Ale Hop","Elton John"
"Danny Boy","Kendrick Lamar"
"Céline Dion","The Mountain Goats"
"Mariah Carey","Shania Twain"
"Dean Martin","Linkin Park"
"9ice","Usher"
"Cypress Hill","Rema"
"CKay","Joe Pass"
"Luis Fonsi","Tryt"
"Arctic Monkeys","Roy Orbison"
"Camila Cabello","Elliott Smith"
"Coldplay","Trip Hop"
"Danny Boy","Nicki Minaj"
"Armin van Buuren","Stray Kids"
"Moon Hop","SZA"
"Paul McCartney","Tina Turner"
"David Guetta","Diverje"
"Fally Ipupa","Nicky Jam"
"Nirvana","Paul McCartney"
"Marshmello","Nirvana"
"The Fall","Wizkid"
"Justin Bieber","川井憲次"
"Joe Pass","Santana"
"Future","Mugeez"
"Nicki Minaj","Wisin & Yandel"
"David Guetta","Farruko"
"KAROL G","Mylène Farmer"
"CKay","Hop Stamina"
"Dua Lipa","Faith No More"
"K.C Nathan","Tiësto"
"Billie Eilish","Marco V"
"Céline Dion","Miguelito"
"Foo Fighters","Gucci Mane"
"Burna Boy","Lana Del Rey"
"Cardi B","Mauro Picotto"
"Jowell & Randy","Taylor Swift"
"Marvin Gaye","Stray Kids"
"Kygo","Ladysmith Black Mambazo"
"BTS","The Platters"
"Ado","BTS"
"G‐Eazy","twenty one pilots"
"Calvin Harris","Def Leppard"
"Future","Percy Sledge"
"Beyoncé","IAM"
"Dionne Warwick","Kygo"
"CKay","Iron Maiden"
"David Guetta","Kenny Rogers"
"Los Fabulosos Cadillacs","SEVENTEEN"
"Ale Hop","Imagine Dragons"
"Roy Orbison","Travis Scott"
"Cardi B","Electric Light Orchestra"
"Miguelito","SEVENTEEN"
"Nicky Jam","Slayer"
"Billie Eilish","Tempo"
"Diverje","Kanye West"
"Stonebwoy","Usher"
"B.B. King","BTS"
"Chris Brown","Sean Paul"
"Enrique Iglesias","twenty one pilots"
"Rema","Ze Hop"
"Megan Thee Stallion","Trip Hop"
"Bad Bunny","Eric Clapton"
"Cardi B","Ike & Tina Turner"
"Alicia Keys","Gloria Estefan"
"Avicii","Teni"
"Ado","Eminem"
"Blaq Major","Future"
"Alicia Keys","Bob Dylan"
"Libianca","Mariah Carey"
"Lapsanova","Usher"
"Antônio Carlos Jobim","Tiësto"
"Fats Domino","SEVENTEEN"
"CHXPO","KAROL G"
"CKay","The Future Sound of London"
"Louis Armstrong","Nicky Jam"
"Tems","Van Morrison"
"Caetano Veloso","Calvin Harris"
"Def Leppard","twenty one pilots"
"Gucci Mane","SEVENTEEN"
"Future","Kingsmart"
"Morrissey","NewJeans"
"Eminem","Hop-Frog"
"Elton John","Loudah100"
"BLACKPINK","Rammstein"
"Farruko","TWICE"
"Cardi B","Johnny Cash"
"50 Cent","Billie Eilish"
"Rocío Jurado","The Weeknd"
"Kendrick Lamar","Trébol Clan"
"BoA","Drake"
"Arcángel","H.E.R."
"Calvin Harris","Master KG"
"Justin Bieber","Karlheinz Stockhausen"
"Arctic Monkeys","Merzbow"
"Cardi B","Ray Charles"
"Hop Hop Hop Crew","Maluma"
"Eminem","Whitney Houston"
"Katy Perry","Peter Gabriel"
"Billie Eilish","Johann Sebastian Bach"
"The Jacksons","Zedd"
"H.E.R.","Maleek Berry"
"Lady Gaga","Lynn Anderson"
"J Balvin","Jeezy"
"Post Malone","Rush"
"BTS","Goose"
"Justin Bieber","Luke Combs"
"Calvin Harris","Tego Calderón"
"Burna Boy","Winner Boy"
"Drake","Hop Louie"
"Erasure","Justin Bieber"
"Nightwish","Taylor Swift"
"KO KO FJ","Shakira"
"Baden Powell","Coldplay"
"Bon Jovi","Shawn Mendes"
"Jennifer Lopez","Juice WRLD"
"CKay","Dream Theater"
"Travis Scott","U2"
"BLACKPINK","John Lee Hooker"
"Scorpions","Taylor Swift"
"Imagine Dragons","Tina Turner"
"Mauro Picotto","Travis Scott"
"La Sonora Dinamita","Rema"
"Magic Juan","Post Malone"
"Carpenters","Stray Kids"
"Vicente Fernández","twenty one pilots"
"Elvis Presley","Maluma"
"Foo Fighters","RKM & Ken‐Y"
"Alicia Keys","Zion & Lennox"
"Bunbury","Chris Brown"
"J Balvin","Tito “El Bambino”"
"Diplo","KiDi"
"Maluma","Wasteland Hop"
"Rocío Dúrcal","Stevie Wonder"
"CKay","Van Morrison"
"NewJeans","Nightwish"
"Ariana Grande","Niniola"
"H.E.R.","John Dahlbäck"
"Kanye West","The Smiths"
"Maciré Sylla","Megan Thee Stallion"
"Daddy Yankee","Lil Durk"
"J Balvin","The Who"
"Frank Sinatra","Imagine Dragons"
"Celia Cruz","Tiësto"
"Junior Reid","Stray Kids"
"Billie Holiday","Elton John"
"Billie Eilish","Bon Jovi"
"ABBA","Bad Bunny"
"Guns N’ Roses","J. Cole"
"B.B. King","Fireboy DML"
"Dua Lipa","Jiminy Hop"
"Katy Perry","Truck Stop"
"J Álvarez","Linkin Park"
"Coldplay","Trébol Clan"
"Fireboy DML","Luke Combs"
"Farruko","Shakira"
"Garry Mapanzure","Shakira"
"Diplo","Waka Flocka Flame"
"Don Omar","NewJeans"
"MK","Wizkid"
"Drake","Hop-Frog"
"Judas Priest","SZA"
"Sheylex Marvin","Stevie Wonder"
"Garry Mapanzure","Marshmello"
"Def Leppard","The Chainsmokers"
"H.E.R.","Hank Snow"
"Maluma","Van Morrison"
"Frank Sinatra","SZA"
"Antônio Carlos Jobim","Stray Kids"
"Maluma","Moon Hop"
"David Guetta","N.O.R.E."
"Beastie Boys","SEVENTEEN"
"TWICE","Tryt"
"Charlie Rich","Drake"
"Coach Hop","J Balvin"
"Red Hot Chili Peppers","Tems"
"Muse","Rush"
"Carpenters","Post Malone"
"Lil Kesh","Rema"
"Kanika","Tems"
"Avicii","Ángel & Khriz"
"Kygo","Tryt"
"BoA","J. Cole"
"Mariah Carey","Peggy Lee"
"BAD HOP","Lady Gaga"
"David Guetta","Nat King Cole"
"Jax Jones","SZA"
"Future","SHINee"
