"Artist_01","Artist_02"
"Björk","Sam Cooke"
"Kendrick Lamar","Perry Como"
"Burna Boy","Sash!"
"Depeche Mode","twenty one pilots"
"Bon Jovi","Juicy J"
"Blaq Major","Ye"
"ABBA","Vico C"
"Ife Alaba","Rx Papi"
"Alex Zurdo","Genesis"
"Paramore","Queen"
"Bone Thugs‐n‐Harmony","Pearl Jam"
"Iron Maiden","Tito Puente"
"MC Ceja","The Jacksons"
"Ladysmith Black Mambazo","Tayc"
"Record Hop","Savant"
"Lorentz Hop","Willie Nelson"
"Garry Mapanzure","Lil Uzi Vert"
"Lana Del Rey","Shakira"
"Caetano Veloso","Luigi Boccherini"
"Lightnin’ Hopkins","かめりあ"
"Ella Fitzgerald","The Cure"
"Anitta","Depeche Mode"
"Ace of Base","Kingsmart"
"Britney Spears","The Everly Brothers"
"Black Sabbath","Hop Trop"
"Ed Sheeran","Lil Wayne"
"Armin van Buuren","Tems"
"Kate Bush","Ricky Martin"
"Lost Frequencies","Ángel & Khriz"
"Madonna","Stevie Wonder"
"Record Hop","The Beatles"
"Diana Ross","Katy Perry"
"Grateful Dead","José Alfredo Jiménez"
"Crayon","Jennifer Lopez"
"R.E.M.","Sheylex Marvin"
"Crayon","Dean Martin"
"Björk","Peggy Lee"
"BAD HOP","Willie Nelson"
"Jimi Hendrix","Nanky"
"Cappella","Jean‐Michel Jarre"
"Ife Alaba","Pixies"
"Libianca","Nirvana"
"Swishahouse","Tayc"
"Cardi B","The Drifters"
"Los Fabulosos Cadillacs","U2"
"Kizz Daniel","The Smiths"
"Emmylou Harris","SD The God"
"Bob Wills and His Texas Playboys","Coldplay"
"Ike & Tina Turner","Waylon Jennings"
"Cardi B","KISS"
"Louis Armstrong","Slayer"
"Aerosmith","Taylor Swift"
"HOP-PAS","Lil Kesh"
"ABBA","Karlheinz Stockhausen"
"HOP BOX","lamarcrescendo"
"Charley Pride","Super8 & Tab"
"Angélique Kidjo","Wizkid"
"Frank Sinatra","HOP CLUB"
"Alex Zurdo","Marshmello"
"2Pac","Tori Amos"
"G‐Eazy","Vicente Fernández"
"Cappella","El Alfa"
"Bob Wills and His Texas Playboys","Foo Fighters"
"Jovanotti","Pet Shop Boys"
"Celia Cruz","Chuck Berry"
"Lloyd Banks","The Weeknd"
"Jazz Hop","Marco V"
"Dr kells","Miguelito"
"CKay","Wizkid"
"Da Great","The Smiths"
"Danny Boy","Hop Hop Hop Crew"
"Julio Iglesias","Wisin & Yandel"
"Juls","Peng Majur"
"Mauro Picotto","SD The God"
"Elis Regina","Lil Wayne"
"Luigi Boccherini","Tom Jones"
"Jax Jones","Lil Wayne"
"Hop Along","Lightnin’ Hopkins"
"Joe Pass","Luigi Boccherini"
"Scorpions","Tiësto"
"50 Cent","Marco V"
"Fryderyk Chopin","Tori Amos"
"Eddy Kenzo","The Cure"
"Azekel","Dolly Parton"
"J. Cole","Tayc"
"Calvin Harris","U2"
"Enrique Iglesias","José Alfredo Jiménez"
"New Order","Wande Coal"
"Anitta","Chyco Siméon"
"Diana Ross","Hop Wilson"
"Motörhead","Pet Shop Boys"
"Bee Gees","Hank Williams"
"Marillion","Stevie Wonder"
"Ellie Goulding","Kizz Daniel"
"Bob Wills and His Texas Playboys","twenty one pilots"
"Megan Thee Stallion","The Rolling Stones"
"Billie Eilish","Vico C"
"Billie Holiday","Don Omar"
"Arctic Monkeys","Future"
"Moon Hop","Phats & Small"
"Aretha Franklin","Tina Turner"
"Blaq Major","Dionne Warwick"
"AC/DC","DJ BoBo"
"Kendrick Lamar","Marilyn Manson"
"Lost Frequencies","Victony"
"Afro B","Lynn Anderson"
"DJ BoBo","The Platters"
"Brint★Hop","Wasteland Hop"
"Bob Wills and His Texas Playboys","Céline Dion"
"Linkin Park","The HOP"
"José Alfredo Jiménez","Maciré Sylla"
"AC/DC","MK"
"The Brighton Beat","Uriah Heep"
"Linkin Park","Vico C"
"Def Leppard","Shania Twain"
"Cappella","Taylor Swift"
"Asake","Jowell & Randy"
"BTS","The Kinks"
"Frank Zappa","Junior Reid"
"Earth, Wind & Fire","Lynn Anderson"
"The Brighton Beat","Yes"
"Morrissey","Vico C"
"Britney Spears","The Who"
"SHINee","Tennessee Ernie Ford"
"Red Hot Chili Peppers","Yemi Alade"
"I-Hop","Lapsanova"
"Muse","Yaga & Mackie"
"Kid Cudi","Swishahouse"
"Future","Radiohead"
"Eddy Kenzo","Luis Fonsi"
"Rema","twenty one pilots"
"Los Fabulosos Cadillacs","Niniola"
"Duran Duran","Hip Hop Kclan"
"Post Malone","Yes"
"Lass","The Supremes"
"Fryderyk Chopin","KO KO FJ"
"Los Tigres del Norte","Nkosazana Daughter"
"Maleek Berry","Zaytoven"
"Genesis","Ladysmith Black Mambazo"
"Farruko","Tego Calderón"
"Hip-Hop","Merle Haggard"
"Carole King","Wizkid"
"Eddy Kenzo","Sam Cooke"
"Aretha Franklin","Nine Inch Nails"
"Kanika","Yemi Alade"
"Pet Shop Boys","Tito Puente"
"Nick Skitz","Tom Jones"
"Bobby Bare","The Brighton Beat"
"Frank Zappa","Radiohead"
"Chet Atkins","Mauro Picotto"
"Specialist","Yandel"
"G‐Eazy","Lola Beltrán"
"Cardi B","Diana Ross"
"Depeche Mode","Miguel Bosé"
"2Baba","Winner Boy"
"Arcángel","Guided by Voices"
"Bunbury","Eric Clapton"
"El Alfa","Madonna"
"Uriah Heep","Vicente Fernández"
"Armin van Buuren","Wizkid"
"BAD HOP","Megan Thee Stallion"
"Ellie Goulding","RKM & Ken‐Y"
"Chyco Siméon","Nina Simone"
"Slipknot","The Mountain Goats"
"Ife Alaba","L king"
"Carole King","G‐Eazy"
"Lana Del Rey","Tekno Miles"
"9ice","Funky DL"
"Jowell & Randy","Stray Kids"
"CKay","Johnny Mathis"
"The Beach Boys","Zion & Lennox"
"Banky W","Sash!"
"2Baba","Baden Powell"
"Cypress Hill","Ella Fitzgerald"
"2Baba","Tempo"
"Ace of Base","Waylon Jennings"
"Alicia Keys","Various Artists"
"HOP-PAS","The Weeknd"
"Hop Out","Jimi Hendrix"
"Migos","The Smiths"
"Grateful Dead","Scorpions"
"Johnny Mathis","Rx Papi"
"Eminem","Wilco"
"Da Great","Rammstein"
"Ike & Tina Turner","MC Ceja"
"Lil B","Nick Phoenix"
"Juls","Nicky Jam"
"Enrique Iglesias","J King & Maximan"
"SEVENTEEN","SZA"
"Lil Wayne","Maciré Sylla"
"Cypress Hill","Peggy Lee"
"Carly Simon","Prince"
"Nanky","Yaga & Mackie"
"Pérez Prado","Tito “El Bambino”"
"Kool & the Gang","Martin Solveig"
"Charly Lownoise & Mental Theo","Neil Young"
"Céline Dion","The Fall"
"Diana Ross","Dionne Warwick"
"Da Great","Paul McCartney"
"Miguel Bosé","The Weeknd"
"Jennifer Lopez","U2"
"James Brown","Johann Sebastian Bach"
"Bruce Springsteen","John Dahlbäck"
"Motörhead","WadeLen"
"KAROL G","Rush"
"U2","Van Morrison"
"9ice","Chuck Berry"
"Danny Boy","The Kinks"
"Maleek Berry","The Jacksons"
"BoA","Record Hop"
"Bob Wills and His Texas Playboys","Ife Alaba"
"ABBA","Led Zeppelin"
"Carpenters","George Jones"
"Daryl Hall & John Oates","Luigi Boccherini"
"Asake","Matt Fax"
"Bing Crosby","Vivi Ndaya"
"Angélique Kidjo","Marillion"
"Metallica","Slayer"
"AC/DC","Christina Aguilera"
"Dave Matthews Band","Ze Hop"
"Kool Keith","Rammstein"
"Juicy J","The Mountain Goats"
"José Alfredo Jiménez","The E Street Band"
"9ice","Anitta"
"David Guetta","Olamide"
"BTS","Hop-Frog"
"Tame Impala","鷺巣詩郎"
"Olamide","Wande Coal"
"Lorentz Hop","Ray Charles"
"50 Cent","Björk"
"Chyco Siméon","Zaytoven"
"Marilyn Manson","Nine Inch Nails"
"Luigi Boccherini","Wisin & Yandel"
"Dionne Warwick","T.I."
"Burna Boy","The Drifters"
"Billie Holiday","Yemi Alade"
"Camila Cabello","Garry Mapanzure"
"Astrud Gilberto","H.O.P."
"CKay","Los Fabulosos Cadillacs"
"Hop Trop","SZA"
"Sheylex Marvin","twenty one pilots"
"Carpenters","Crayon"
"Santana","Wande Coal"
"Diplo","Jerry Lee Lewis"
"Marco V","Vico C"
"Bing Crosby","Van Morrison"
"Christina Aguilera","YoungBoy Never Broke Again"
"Coach Hop","Hop Stamina"
"Kacey Musgraves","Pink Floyd"
"Bob Marley & The Wailers","Latin Fresh"
"BAD HOP","Ray Charles"
"The Future Sound of London","Tom Jones"
"Linkin Park","Luke Combs"
"Kenny Rogers","twenty one pilots"
"Iggy Azalea","J. Cole"
"Calvin Harris","Tori Amos"
"Daryl Hall & John Oates","Z‐Ro"
"José José","Yandel"
"B.B. King","Bon Jovi"
"Céline Dion","David Guetta"
"Juicy J","Saxon"
"Dolly Parton","Uriah Heep"
"Buckethead","Diverje"
"Billie Eilish","Jax Jones"
"The Beatles","The HOP"
"Bad Bunny","Jeezy"
"DJ BoBo","Diana Ross"
"Ennio Morricone","Maleek Berry"
"Hop Out","Roy Orbison"
"The Drifters","The Everly Brothers"
"Bon Jovi","Dean Martin"
"Erasure","Oasis"
"Daryl Hall & John Oates","Vico C"
"Kool Keith","Niniola"
"Don Omar","Ricky Martin"
"Nine Inch Nails","かめりあ"
"Hop Louie","Kid Cudi"
"Elvis Presley","Wasteland Hop"
"K.C Nathan","Money Boy"
"Farruko","H.O.P."
"Fryderyk Chopin","Shawn Mendes"
"Hop Wilson","J. Cole"
"Dionne Warwick","Jiminy Hop"
"Dusty Springfield","Kizz Daniel"
"Olamide","Radiohead"
"Kanika","Maleek Berry"
"Ike & Tina Turner","Migos"
"Dean Martin","Jennifer Lopez"
"Celia Cruz","WadeLen"
"Tayc","[unknown]"
"Jiminy Hop","Nina Simone"
"Baby Rasta & Gringo","Mugeez"
"Ife Alaba","Sean Paul"
"Don Omar","Travis Scott"
"Dionne Warwick","Whigfield"
"CKay","Maciré Sylla"
"The Chainsmokers","Waka Flocka Flame"
"Gloria Estefan","James Brown"
"Maleek Berry","Moon Hop"
"Cardi B","Luke Combs"
"Kygo","Motörhead"
"House of Prayers","Prince"
"Buckethead","Fireboy DML"
"Bee Gees","Jax Jones"
"Petey Hop","WadeLen"
"Banky W","Crayon"
"Crayon","Kingsmart"
"Ado","Beck"
"Eminem","The Residents"
"Jennifer Lopez","Niniola"
"H.O.P.","Sirch"
"Miguel Bosé","かめりあ"
"Carly Simon","Tiësto"
"Dionne Warwick","The E Street Band"
"Danny Boy","Hop-Frog"
"Guided by Voices","SD The God"
"Doja Cat","JAY‐Z"
"RXKNephew","SpaceGhostPurrp"
"Bob Dylan","Super8 & Tab"
"Ella Fitzgerald","Mullar Audible TLP"
"Rema","Robb Bank$"
"Alexis & Fido","Phish"
"Lloyd Banks","Rocío Jurado"
"Eddy Kenzo","IAM"
"BoA","Roy Orbison"
"SEVENTEEN","Stevie Wonder"
"CHXPO","Wasteland Hop"
"Dionne Warwick","Kendrick Lamar"
"RKM & Ken‐Y","Weyinmi"
"Erasure","Johnny Mathis"
"Chris Brown","Teni"
"Eminem","Paul McCartney"
"Beastie Boys","IOSYS"
"Foo Fighters","Maleek Berry"
"Various Artists","Ángel & Khriz"
"Shania Twain","植松伸夫"
"Gucci Mane","The Supremes"
"Bon Jovi","Luke Combs"
"Bob Marley & The Wailers","Magnate & Valentino"
"Eros Ramazzotti","Morrissey"
"Pink Floyd","Swishahouse"
"ARTY","Prince"
"Depeche Mode","Jax Jones"
"Cappella","Ike & Tina Turner"
"King Promise","Nirvana"
"Arcángel","HOP-VI"
"Deep Purple","Elis Regina"
"CKay","Kool & the Gang"
"Def Leppard","Scorpions"
"Elvis Presley","Specialist"
"Don Omar","KISS"
"Joe Pass","Justin Bieber"
"Avicii","Marvin Gaye"
"ARTY","Tangerine Dream"
"Lynn Anderson","Nat King Cole"
"Pink Floyd","Rocío Dúrcal"
"Hop Hop Hop Crew","WadeLen"
"Eros Ramazzotti","Mullar Audible TLP"
"Dionne Warwick","Ella Fitzgerald"
"D Bizzc","Farruko"
"Afro B","Hank Williams"
"Frank Zappa","Hop Out"
"Tennessee Ernie Ford","Whigfield"
"Ricky Martin","Robb Bank$"
"Rammstein","Sidney Bechet"
"Erasure","Juice WRLD"
"Niniola","SD The God"
"Post Malone","Rubén Blades"
"Merzbow","RKM & Ken‐Y"
"Daddy Yankee","Dusty Springfield"
"Carrie Underwood","Taylor Swift"
"Electric Light Orchestra","Gucci Mane"
"Carole King","QWECi"
"Bee Gees","Johnny Mathis"
"Beck","Nick Phoenix"
"Linkin Park","Mariah Carey"
"Dolly Parton","Juls"
"Dream Theater","Los Tigres del Norte"
"Banky W","Travis Scott"
"Kendrick Lamar","Ángel & Khriz"
"Marshmello","Shania Twain"
"The HOP","Wiztom"
"KISS","lamarcrescendo"
"Elton John","I-Hop"
"D Bizzc","G‐Eazy"
"Bob Marley & The Wailers","Rocío Dúrcal"
"Grateful Dead","Reekado Banks"
"Santana","Truck Stop"
"Hank Williams","Paulina Rubio"
"Calvin Harris","Kizz Daniel"
"Maleek Berry","Tammy Wynette"
"Karlheinz Stockhausen","Lana Del Rey"
"IOSYS","Little Richard"
"Joe Pass","Mylène Farmer"
"Hop Along","Peter Gabriel"
"Above & Beyond","Jim Reeves"
"Deep Purple","Marilyn Manson"
"Bad Bunny","Farruko"
"2Baba","植松伸夫"
"Céline Dion","José José"
"Ike & Tina Turner","Maleek Berry"
"Sheylex Marvin","Tems"
"Angélique Kidjo","J Álvarez"
"Chyco Siméon","Wisin & Yandel"
"Coach Hop","Kygo"
"Elvis Presley","Vivi Ndaya"
"Sash!","SpaceGhostPurrp"
"The Brighton Beat","twenty one pilots"
"Madonna","Wilco"
"Post Malone","Sonny Rollins"
"50 Cent","Loudah100"
"Danny Boy","Tangerine Dream"
"Elton John","LUCKI"
"KAROL G","Morrissey"
"HOP CLUB","José José"
"Fryderyk Chopin","Latin Fresh"
"Guided by Voices","Jessie J"
"Pink Floyd","鷺巣詩郎"
"HOP-VI","Zaytoven"
"Hungria Hip-Hop","John Lee Hooker"
"Bad Bunny","Fireboy DML"
"Reekado Banks","The Fall"
"9ice","The Smiths"
"Fats Domino","Kizz Daniel"
"Beyoncé","Cypress Hill"
"Metallica","Shawn Mendes"
"Pedro Infante","Record Hop"
"Jessie J","Juls"
"Brymo","H.O.P."
"House of Prayers","Tiësto"
"Bing Crosby","Santana"
"Celia Cruz","Lil Wayne"
"Chyco Siméon","Slimmz"
"Iron Maiden","T.I."
"Alexis & Fido","The Cure"
"H.E.R.","The Chainsmokers"
"Hop","Lady Gaga"
"James Brown","Tito Puente"
"Sidney Bechet","Slipknot"
"Erasure","QWECi"
"SHINee","The Jacksons"
"The Jacksons","The Smiths"
"Prince","The Kinks"
"Alicia Keys","Ife Alaba"
"George Jones","Heinäsirkka Hop"
"The Future Sound of London","Wilco"
"Asake","Maphya"
"Bing Crosby","D’Prince"
"Da Great","Sirch"
"Gucci Mane","Tekno Miles"
"Muse","Uriah Heep"
"Iron Maiden","Nicky Jam"
"Ladysmith Black Mambazo","Rubén Blades"
"Judas Priest","Marvin Gaye"
"Ella Fitzgerald","Julio Iglesias"
"The Jacksons","WadeLen"
"Sean Paul","The Fall"
"Eddy Kenzo","Luigi Boccherini"
"Ellie Goulding","Tems"
"Ella Fitzgerald","Jerry Lee Lewis"
"Dolly Parton","Elton John"
"Hop Out","Wasteland Hop"
"Jowell & Randy","Skrillex"
"J King & Maximan","José José"
"Sirch","Tems"
"MK","Metallica"
"Charlie Rich","Zion & Lennox"
"Metro Boomin","Tempo"
"King Promise","Wande Coal"
"Gloria Estefan","Kingsmart"
"Sean Paul","The Drifters"
"BTS","Phish"
"KAROL G","Petey Hop"
"Avicii","Vico C"
"Astrud Gilberto","Tina Turner"
"Coldplay","Emmylou Harris"
"Antônio Carlos Jobim","Kacey Musgraves"
"Loudah100","Tiësto"
"Charley Pride","Rocío Jurado"
"Kool Keith","Nkosazana Daughter"
"Ace of Base","Guns N’ Roses"
"Madonna","The Isley Brothers"
"L king","Lorentz Hop"
"Jerry Lee Lewis","Rocío Dúrcal"
"Gloria Estefan","The Mountain Goats"
"The Weeknd","Tim Devine"
"J Balvin","Ye"
"Madonna","Merle Haggard"
"K.C Nathan","Slipknot"
"Britney Spears","Rush"
"B.B. King","U2"
"Angélique Kidjo","Tame Impala"
"Hip Hop Kclan","Tim Devine"
"Charlie Rich","Dolly Parton"
"P!nk","Tammy Wynette"
"Celia Cruz","Metro Boomin"
"Bob Dylan","H.E.R."
"IOSYS","Los Tigres del Norte"
"Nanky","deadmau5"
"Jerry Lee Lewis","Lola Beltrán"
"New Order","The Fall"
"Hip-Hop","Various Artists"
"Britney Spears","Pearl Jam"
"Dean Martin","Praga Khan"
"Nightwish","Tina Turner"
"Elis Regina","Faithless"
"Ale Hop","The Weeknd"
"Truck Stop","Wiztom"
"ARTY","Baby Rasta & Gringo"
"Emmylou Harris","Fally Ipupa"
"Garry Mapanzure","Zion & Lennox"
"George Jones","Merzbow"
"Blaq Major","The Drifters"
"Red Hot Chili Peppers","Tom Jones"
"Los Tigres del Norte","Robb Bank$"
"Skrillex","YoungBoy Never Broke Again"
"Coach Hop","Praga Khan"
"KO KO FJ","Tennessee Ernie Ford"
"Junior Reid","Tito Puente"
"Burna Boy","The Who"
"Burna Boy","Mugeez"
"Louis Armstrong","Tito Puente"
"Above & Beyond","Scorpions"
"Bing Crosby","Slayer"
"Dean Martin","Thalía"
"9ice","Lil Kesh"
"John Lee Hooker","Percy Sledge"
"Mylène Farmer","Ze Hop"
"Tekno Miles","The Weeknd"
"Caetano Veloso","El Alfa"
"Gloria Estefan","LUCKI"
"Little Richard","Ricky Martin"
"Chuck Berry","Post Malone"
"Luis Fonsi","Praga Khan"
"Jennifer Lopez","Nick Phoenix"
"HOP CLUB","Kygo"
"Aerosmith","KiDi"
"Tina Turner","Yes"
"Scorpions","Stray Kids"
"Iron Maiden","Sam Cooke"
"QWECi","The Cure"
"Drake","Metallica"
"Post Malone","Zedd"
"Carole King","Maphya"
"Mugeez","Rage Against the Machine"
"Dionne Warwick","The Platters"
"Alexis & Fido","BLACKPINK"
"B.B. King","The Residents"
"Jerry Lee Lewis","鷺巣詩郎"
"Funky DL","MC Ceja"
"Pedro Infante","Roy Orbison"
"J King & Maximan","Luke Combs"
"Emmylou Harris","Noisia"
"lamarcrescendo","川井憲次"
"Imagine Dragons","lamarcrescendo"
"Lil Durk","Zion & Lennox"
"Chuck Berry","Goose"
"Kizz Daniel","S3RL"
"Anitta","SD The God"
"50 Cent","Eros Ramazzotti"
"James Brown","Rod Wave"
"El Alfa","Sash!"
"Daryl Hall & John Oates","New Order"
"JAY‐Z","Zedd"
"Emmylou Harris","Madonna"
"Fally Ipupa","Peter Gabriel"
"Bobby Bare","Loudah100"
"The Weeknd","Van Morrison"
"Muse","Sirch"
"Bon Jovi","Kingsmart"
"Nanky","Nicky Jam"
"Carrie Underwood","R.E.M."
"Chet Atkins","John Dahlbäck"
"Banky W","Diana Ross"
"Frank Zappa","Sidney Bechet"
"Marillion","Merle Haggard"
"Caetano Veloso","Linkin Park"
"Alicia Keys","Sheylex Marvin"
"Coldplay","Ray Charles"
"Louis Armstrong","Scorpions"
"Luis Fonsi","Stonebwoy"
"Hop","Nirvana"
"Arcángel","Waka Flocka Flame"
"Libianca","Stray Kids"
"Luke Combs","Skrillex"
"2Pac","Fally Ipupa"
"SHINee","Wilco"
"Lana Del Rey","鷺巣詩郎"
"J Álvarez","Kacey Musgraves"
"I-Hop","Peng Majur"
"Jimi Hendrix","倖田來未"
"DJ BoBo","Pedro Infante"
"Jazz Hop","Rocío Dúrcal"
"Earth, Wind & Fire","Nirvana"
"Carpenters","Timaya"
"Nirvana","Yaga & Mackie"
"L king","The Kinks"
"Funky DL","Rx Papi"
"G‐Eazy","T.I."
"H.E.R.","Heinäsirkka Hop"
"Sam Cooke","Yemi Alade"
"Carly Simon","Charly Lownoise & Mental Theo"
"Migos","The Beatles"
"Mauro Picotto","Noisia"
"The Smiths","lamarcrescendo"
"Faithless","Tennessee Ernie Ford"
"Alicia Keys","lamarcrescendo"
"Kizz Daniel","Megadeth"
"Blaq Major","Slipknot"
"Lil B","Noisia"
"2 Unlimited","The Brighton Beat"
"The Residents","Uriah Heep"
"Dean Martin","The Mountain Goats"
"Bon Jovi","I-Hop"
"José José","L king"
"Savant","Saxon"
"Bing Crosby","Megan Thee Stallion"
"Carl Perkins","Maleek Berry"
"Elvis Presley","The Brighton Beat"
"Billie Jo Spears","JAY‐Z"
"Imagine Dragons","Wizkid"
"Becca","Julio Iglesias"
"Eminem","The Beatles"
"QWECi","Sam Cooke"
"David Bowie","Super8 & Tab"
"Afro B","Lil Uzi Vert"
"Guns N’ Roses","Tammy Wynette"
"Tennessee Ernie Ford","The Platters"
"José Feliciano","Peng Majur"
"Lola Beltrán","Wasteland Hop"
"Hip Hop Kclan","Slimmz"
"J. Cole","Megadeth"
"Andrew Bird","José José"
"John Lee Hooker","Thalía"
"MK","The Residents"
"Rubén Blades","Wiztom"
"Chyco Siméon","Genesis"
"David Bowie","Ye"
"Marillion","The Residents"
"Elliott Smith","Elton John"
"Bobby Bare","Latin Fresh"
"Metro Boomin","Post Malone"
"50 Cent","Carrie Underwood"
"Andrew Bird","Dean Martin"
"Kollegah","Yaga & Mackie"
"Juan Gabriel","Rage Against the Machine"
"Grupo Niche","Libianca"
"Alex Zurdo","Brint★Hop"
"Bob Wills and His Texas Playboys","QWECi"
"Lil Durk","Tempo"
"H.E.R.","LUCKI"
"Magic Juan","T.I."
"Latin Fresh","鷺巣詩郎"
"Lorentz Hop","Yaga & Mackie"
"Aretha Franklin","Naeto C"
"DJ BoBo","The Mountain Goats"
"Angélique Kidjo","Stray Kids"
"José Feliciano","Kid Cudi"
"Aya Nakamura","Kanika"
"The Residents","Usher"
"Carpenters","Fireboy DML"
"Judas Priest","Timaya"
"Pink Floyd","倖田來未"
"Saxon","lamarcrescendo"
"Jessie J","Ladysmith Black Mambazo"
"CHXPO","Don Omar"
"Enrique Iglesias","Olamide"
"Charley Pride","The Temptations"
"Future","Hop Stamina"
"Maphya","Oasis"
"9ice","Charley Pride"
"Kendrick Lamar","鷺巣詩郎"
"Björk","Kylie Minogue"
"Jimi Hendrix","Kid Cudi"
"Maluma","Tame Impala"
"Luigi Boccherini","Nick Phoenix"
"Hop Along","Nkosazana Daughter"
"Coldplay","Ángel & Khriz"
"Eddy Kenzo","Skrillex"
"Noisia","Robb Bank$"
"Hip-Hop","Hop Louie"
"Hop Out","Iggy Azalea"
"Bon Jovi","Van Morrison"
"2Baba","Tiwa Savage"
"Christina Aguilera","Zion & Lennox"
